Dataset,Model,DimReduction,Dimensions,AnomalyMethod,Accuracy,Precision,Recall,F1,AUC
plantpathology,densenet121,tsne,2,IQR+CI,0.412,0.9841269841269841,0.17464788732394365,0.2966507177033493,0.5838756677999029
plantpathology,densenet121,tsne,2,IsolationForest,0.502,0.8897058823529411,0.3408450704225352,0.49287169042769857,0.6186983972802331
plantpathology,densenet121,tsne,2,OneClassSVM,0.482,0.8692307692307693,0.3183098591549296,0.465979381443299,0.6005342399222924
plantpathology,densenet121,tsne,2,LOF,0.388,1.0,0.13802816901408452,0.24257425742574257,0.5690140845070423
plantpathology,densenet121,tsne,2,GMM,0.414,0.9696969696969697,0.18028169014084508,0.30403800475059384,0.5832442933462846
plantpathology,densenet121,tsne,1,IQR+CI,0.46,1.0,0.23943661971830985,0.38636363636363635,0.6197183098591549
plantpathology,densenet121,tsne,1,IsolationForest,0.684,0.933920704845815,0.5971830985915493,0.7285223367697594,0.7468674113647402
plantpathology,densenet121,tsne,1,OneClassSVM,0.594,0.9222222222222223,0.4676056338028169,0.6205607476635514,0.6855269548324431
plantpathology,densenet121,tsne,1,LOF,0.67,0.9166666666666666,0.5887323943661972,0.7169811320754716,0.7288489558037883
plantpathology,densenet121,tsne,1,GMM,0.47,0.9787234042553191,0.2591549295774648,0.40979955456570155,0.6226809130645945
plantpathology,densenet121,umap,2,IQR+CI,0.39,1.0,0.14084507042253522,0.24691358024691357,0.5704225352112676
plantpathology,densenet121,umap,2,IsolationForest,0.528,0.8993288590604027,0.37746478873239436,0.5317460317460317,0.6370082564351627
plantpathology,densenet121,umap,2,OneClassSVM,0.492,0.8796992481203008,0.3295774647887324,0.47950819672131145,0.6096163186012628
plantpathology,densenet121,umap,2,LOF,0.458,0.9117647058823529,0.2619718309859155,0.40700218818380746,0.599951432734337
plantpathology,densenet121,umap,2,GMM,0.412,0.9692307692307692,0.17746478873239438,0.3,0.5818358426420592
plantpathology,densenet121,umap,1,IQR+CI,0.49,1.0,0.28169014084507044,0.43956043956043955,0.6408450704225352
plantpathology,densenet121,umap,1,IsolationForest,0.696,0.9356223175965666,0.6140845070422535,0.7414965986394558,0.7553181155900923
plantpathology,densenet121,umap,1,OneClassSVM,0.668,0.9315068493150684,0.5746478873239437,0.710801393728223,0.7355998057309374
plantpathology,densenet121,umap,1,LOF,0.658,0.9646464646464646,0.5380281690140845,0.6907775768535263,0.7448761534725594
plantpathology,densenet121,umap,1,GMM,0.532,0.984,0.3464788732394366,0.5125,0.6663428848955804
plantpathology,densenet121,pca,2,IQR+CI,0.336,0.7674418604651163,0.09295774647887324,0.1658291457286432,0.5119961146187471
plantpathology,densenet121,pca,2,IsolationForest,0.404,0.8275862068965517,0.2028169014084507,0.3257918552036199,0.5496843127731909
plantpathology,densenet121,pca,2,OneClassSVM,0.382,0.7738095238095238,0.18309859154929578,0.296127562642369,0.5260320543953375
plantpathology,densenet121,pca,2,LOF,0.362,0.7647058823529411,0.14647887323943662,0.2458628841607565,0.5180670228266149
plantpathology,densenet121,pca,2,GMM,0.3,0.7777777777777778,0.01971830985915493,0.038461538461538464,0.5029626032054395
plantpathology,densenet121,pca,1,IQR+CI,0.336,0.7674418604651163,0.09295774647887324,0.1658291457286432,0.5119961146187471
plantpathology,densenet121,pca,1,IsolationForest,0.404,0.8275862068965517,0.2028169014084507,0.3257918552036199,0.5496843127731909
