Dataset,Model,DimReduction,Dimensions,ClusterizationMethod,CohenK
plantvillage,densenet121,tsne,2,KMeans,0.580778075891146
plantvillage,densenet121,tsne,2,Hierarchical,0.554847618586172
plantvillage,densenet121,tsne,2,GMM,0.532381814715974
plantvillage,densenet121,tsne,2,DBSCAN,0.578936210308113
plantvillage,densenet121,tsne,1,KMeans,0.362724368010525
plantvillage,densenet121,tsne,1,Hierarchical,0.523791967753035
plantvillage,densenet121,tsne,1,GMM,0.363053585685437
plantvillage,densenet121,tsne,1,DBSCAN,0.324953445065177
plantvillage,densenet121,umap,2,KMeans,0.51376956853761
plantvillage,densenet121,umap,2,Hierarchical,0.558880402204389
plantvillage,densenet121,umap,2,GMM,0.467540811955642
plantvillage,densenet121,umap,2,DBSCAN,0.26313618941342
plantvillage,densenet121,umap,1,KMeans,0.745651857952619
plantvillage,densenet121,umap,1,Hierarchical,0.890438745867976
plantvillage,densenet121,umap,1,GMM,0.797794117647059
plantvillage,densenet121,umap,1,DBSCAN,0.719440607734807
plantvillage,densenet121,pca,2,KMeans,0.292965469545028
plantvillage,densenet121,pca,2,Hierarchical,0.194055669130367
plantvillage,densenet121,pca,2,GMM,0.300729459312928
plantvillage,densenet121,pca,2,DBSCAN,0.225912819687952
plantvillage,densenet121,pca,1,KMeans,0.292965469545028
plantvillage,densenet121,pca,1,Hierarchical,0.194055669130367
plantvillage,densenet121,pca,1,GMM,0.300729459312928
plantvillage,densenet121,pca,1,DBSCAN,0.225912819687952
plantvillage,densenet161,tsne,2,KMeans,0.554524417443508
plantvillage,densenet161,tsne,2,Hierarchical,0.5930970104598
plantvillage,densenet161,tsne,2,GMM,0.521382248067581
plantvillage,densenet161,tsne,2,DBSCAN,0.626896608904734
plantvillage,densenet161,tsne,1,KMeans,0.822234209493919
plantvillage,densenet161,tsne,1,Hierarchical,0.76420362878205
plantvillage,densenet161,tsne,1,GMM,0.888484127574158
plantvillage,densenet161,tsne,1,DBSCAN,0.681948147910174
plantvillage,densenet161,umap,2,KMeans,0.608498039431588
plantvillage,densenet161,umap,2,Hierarchical,0.48354466448212
plantvillage,densenet161,umap,2,GMM,0.681502807146827
plantvillage,densenet161,umap,2,DBSCAN,0.676401839796919
plantvillage,densenet161,umap,1,KMeans,0.953065451791961
plantvillage,densenet161,umap,1,Hierarchical,0.902987363321713
plantvillage,densenet161,umap,1,GMM,0.953065451791961
plantvillage,densenet161,umap,1,DBSCAN,0.887376113725098
plantvillage,densenet161,pca,2,KMeans,0.27256710401623
plantvillage,densenet161,pca,2,Hierarchical,0.311676768756808
plantvillage,densenet161,pca,2,GMM,0.254718998984012
plantvillage,densenet161,pca,2,DBSCAN,0.394330405930295
plantvillage,densenet161,pca,1,KMeans,0.27256710401623
plantvillage,densenet161,pca,1,Hierarchical,0.311676768756808
plantvillage,densenet161,pca,1,GMM,0.254718998984012
plantvillage,densenet161,pca,1,DBSCAN,0.394330405930295
plantvillage,densenet169,tsne,2,KMeans,0.801709568581034
plantvillage,densenet169,tsne,2,Hierarchical,0.858023561778681
plantvillage,densenet169,tsne,2,GMM,0.822644071113612
plantvillage,densenet169,tsne,2,DBSCAN,0.77033208040318
plantvillage,densenet169,tsne,1,KMeans,0.651551341080608
plantvillage,densenet169,tsne,1,Hierarchical,0.555884028097963
plantvillage,densenet169,tsne,1,GMM,0.6564682546795
plantvillage,densenet169,tsne,1,DBSCAN,0.569556912646956
plantvillage,densenet169,umap,2,KMeans,0.783487738087251
plantvillage,densenet169,umap,2,Hierarchical,0.754266957096831
plantvillage,densenet169,umap,2,GMM,0.80453718069316
plantvillage,densenet169,umap,2,DBSCAN,0.520890531981406
plantvillage,densenet169,umap,1,KMeans,0.768659442347498
plantvillage,densenet169,umap,1,Hierarchical,0.447641908294918
plantvillage,densenet169,umap,1,GMM,0.80630403502515
plantvillage,densenet169,pca,2,KMeans,0.124218897935997
plantvillage,densenet169,pca,2,Hierarchical,0.116103239141668
plantvillage,densenet169,pca,2,GMM,0.142140241421402
plantvillage,densenet169,pca,2,DBSCAN,0.180519784593772
plantvillage,densenet169,pca,1,KMeans,0.124218897935997
plantvillage,densenet169,pca,1,Hierarchical,0.116103239141668
plantvillage,densenet169,pca,1,GMM,0.142140241421402
plantvillage,densenet169,pca,1,DBSCAN,0.180519784593772
plantvillage,densenet201,tsne,2,KMeans,0.675999103698455
plantvillage,densenet201,tsne,2,Hierarchical,0.52633292874271
