"x","y","treatment","block","spatial_gradient","treatment_effect","yield","plot_id"
1,1,"Control",1,-1.5,0,10.3318573060343,"B1_Control"
2,1,"Control",1,-1.34847711831717,0,10.5824696348378,"B1_Control"
3,1,"Control",1,-1.19695423663434,0,11.2706582576104,"B1_Control"
4,1,"Control",1,-1.04543135495151,0,10.9757211624759,"B1_Control"
5,1,"Control",1,-0.893908473268674,0,11.1448778472796,"B1_Control"
6,1,"Test",1,-0.742385591585842,2,13.7721339044791,"B1_Test"
7,1,"Test",1,-0.59086270990301,2,13.5474121518938,"B1_Test"
8,1,"Test",1,-0.439339828220179,2,13.1811418013979,"B1_Test"
9,1,"Test",1,-0.287816946537347,2,13.5061271978946,"B1_Test"
10,1,"Test",1,-0.136294064854515,2,13.7300073441155,"B1_Test"
11,1,"Reference",1,0.0152288168283159,1,13.3824533560602,"B1_Reference"
12,1,"Reference",1,0.166751698511148,1,13.2746958466284,"B1_Reference"
13,1,"Reference",1,0.318274580193979,1,13.4385060153722,"B1_Reference"
14,1,"Reference",1,0.469797461876811,1,13.5030022766603,"B1_Reference"
15,1,"Reference",1,0.621320343559642,1,13.4545680031334,"B1_Reference"
1,2,"Control",1,-1.26429773960448,0,11.2717762014364,"B1_Control"
2,2,"Control",1,-1.21979518343,0,10.9295599600388,"B1_Control"
3,2,"Control",1,-1.11608296436674,0,10.2939318886444,"B1_Control"
4,2,"Control",1,-0.987956829342701,0,11.2224499411264,"B1_Control"
5,2,"Control",1,-0.849690462678683,0,11.0084721150029,"B1_Control"
6,2,"Test",1,-0.706567490335636,2,12.9730853978683,"B1_Test"
7,2,"Test",1,-0.56080557508019,2,13.3738019505223,"B1_Test"
8,2,"Test",1,-0.413466265799558,2,13.2787323997083,"B1_Test"
9,2,"Test",1,-0.265114049534292,2,13.5162185816784,"B1_Test"
10,2,"Test",1,-0.116074628779942,2,13.6964135908653,"B1_Test"
11,2,"Reference",1,0.0334516369623443,1,12.5274436437396,"B1_Reference"
12,2,"Reference",1,0.183335017174345,1,13.4346711305227,"B1_Reference"
13,2,"Reference",1,0.333487934112234,1,13.3794998694632,"B1_Reference"
14,2,"Reference",1,0.483849186902039,1,13.1424081057985,"B1_Reference"
15,2,"Reference",1,0.63437474581095,1,14.0105192221319,"B1_Reference"
1,3,"Control",1,-1.02859547920897,0,11.0993437872341,"B1_Control"
2,3,"Control",1,-1.00484203945035,0,10.906636515652,"B1_Control"
3,3,"Control",1,-0.939590366860009,0,11.3289473314535,"B1_Control"
4,3,"Control",1,-0.845129879072616,0,11.4183101671873,"B1_Control"
5,3,"Control",1,-0.732165928733472,0,11.5143083957578,"B1_Control"
6,3,"Test",1,-0.607698585645547,2,13.5988934905845,"B1_Test"
7,3,"Test",1,-0.475913658685402,2,13.6902616373759,"B1_Test"
8,3,"Test",1,-0.339300976901324,2,13.6421255099257,"B1_Test"
9,3,"Test",1,-0.199380925357366,2,13.7088302755207,"B1_Test"
10,3,"Test",1,-0.0571153546546965,2,13.8287433450416,"B1_Test"
11,3,"Reference",1,0.086865019328727,1,12.8784529256526,"B1_Reference"
12,3,"Reference",1,0.232132629653981,1,13.1697574462481,"B1_Reference"
13,3,"Reference",1,0.378388849839621,1,12.9987699443691,"B1_Reference"
14,3,"Reference",1,0.525419527662985,1,14.1761063172645,"B1_Reference"
15,3,"Reference",1,0.673067468400883,1,14.0354560678924,"B1_Reference"
1,4,"Control",2,-0.792893218813453,0,10.8701742062255,"B2_Control"
2,4,"Control",2,-0.776840831024408,0,11.1022937183859,"B2_Control"
3,4,"Control",2,-0.730690741837928,0,11.1293126520751,"B2_Control"
4,4,"Control",2,-0.659385550290013,0,11.5746039852109,"B2_Control"
5,4,"Control",2,-0.568685370685336,0,11.4063039093731,"B2_Control"
6,4,"Test",2,-0.463670133675221,2,13.6123254205232,"B2_Test"
7,4,"Test",2,-0.348248893100207,2,13.6431870802952,"B2_Test"
8,4,"Test",2,-0.225245121601804,2,13.7618937412108,"B2_Test"
9,4,"Test",2,-0.0966512354008215,2,14.2,"B2_Test"
10,4,"Test",2,0.0361295119718974,2,13.9683982162741,"B2_Test"
11,4,"Reference",2,0.172099987245661,1,13.6270411685745,"B2_Reference"
12,4,"Reference",2,0.310541693662368,1,12.8459158523933,"B2_Reference"
13,4,"Reference",2,0.450928611963952,1,13.6263127368548,"B2_Reference"
14,4,"Reference",2,0.592869331997659,1,13.630025605151,"B2_Reference"
15,4,"Reference",2,0.73606797749979,1,13.800850448123,"B2_Reference"
1,5,"Control",2,-0.557190958417937,0,11.55670088641,"B2_Control"
2,5,"Control",2,-0.545092636659263,0,11.3042103274079,"B2_Control"
3,5,"Control",2,-0.509684078900694,0,11.3903537059985,"B2_Control"
4,5,"Control",2,-0.453328350460321,0,11.2410990346076,"B2_Control"
5,5,"Control",2,-0.379180733720017,0,11.2992818983373,"B2_Control"
6,5,"Test",2,-0.290508999320118,2,13.8005495931012,"B2_Test"
7,5,"Test",2,-0.190259758145232,2,13.9442031754436,"B2_Test"
8,5,"Test",2,-0.0808844695061335,2,13.935016798513,"B2_Test"
9,5,"Test",2,0.0356681425330569,2,14.2,"B2_Test"
10,5,"Test",2,0.157885028112598,2,14.2,"B2_Test"
11,5,"Reference",2,0.284602828708906,1,13.1372934788919,"B2_Reference"
