"x","y","treatment","block","spatial_gradient","treatment_effect","yield","plot_id"
1,1,"Control",1,-1.5,0,10.3318573060343,"B1_Control"
2,1,"Control",1,-1.28412059255045,0,10.6468261606046,"B1_Control"
3,1,"Control",1,-1.09402198383102,0,11.3735905104137,"B1_Control"
4,1,"Control",1,-0.950378769202596,0,11.0707737482248,"B1_Control"
5,1,"Control",1,-0.86466448348831,0,11.17412183706,"B1_Control"
6,1,"Test",1,-0.836879126688162,2,13.6776403693768,"B1_Test"
7,1,"Test",1,-0.855549163979018,2,13.2827256978177,"B1_Test"
8,1,"Test",1,-0.9,2,12.720481629618,"B1_Test"
9,1,"Test",1,-0.944450836020982,2,12.849493308411,"B1_Test"
10,1,"Test",1,-0.963120873311837,2,12.9031805356582,"B1_Test"
11,1,"Reference",1,-0.93533551651169,1,12.4318890227201,"B1_Reference"
12,1,"Reference",1,-0.849621230797404,1,12.2583229173198,"B1_Reference"
13,1,"Reference",1,-0.70597801616898,1,12.4142534190092,"B1_Reference"
14,1,"Reference",1,-0.515879407449553,1,12.517325407334,"B1_Reference"
15,1,"Reference",1,-0.3,1,12.5332476595738,"B1_Reference"
1,2,"Control",1,-1.3,0,11.2360739410409,"B1_Control"
2,2,"Control",1,-1.09197050990738,0,11.0573846335614,"B1_Control"
3,2,"Control",1,-0.908167046139434,0,10.5018478068717,"B1_Control"
4,2,"Control",1,-0.768017373394501,0,11.4423893970746,"B1_Control"
5,2,"Control",1,-0.682303087680215,0,11.1758594900014,"B1_Control"
6,2,"Test",1,-0.651024188996577,2,13.0286286992074,"B1_Test"
7,2,"Test",1,-0.663399081335955,2,13.2712084442666,"B1_Test"
8,2,"Test",1,-0.7,2,12.9921986655078,"B1_Test"
9,2,"Test",1,-0.736600918664045,2,13.0447317125486,"B1_Test"
10,2,"Test",1,-0.748975811003423,2,13.0635124086418,"B1_Test"
11,2,"Reference",1,-0.717696912319784,1,11.7762950944575,"B1_Reference"
12,2,"Reference",1,-0.631982626605499,1,12.6193534867429,"B1_Reference"
13,2,"Reference",1,-0.491832953860566,1,12.5541789814904,"B1_Reference"
14,2,"Reference",1,-0.308029490092616,1,12.3505294288038,"B1_Reference"
15,2,"Reference",1,-0.1,1,13.276144476321,"B1_Reference"
1,3,"Control",1,-1.1,0,11.027939266443,"B1_Control"
2,3,"Control",1,-0.914573446092507,0,10.9969051090098,"B1_Control"
3,3,"Control",1,-0.748896129791397,0,11.5196415685221,"B1_Control"
4,3,"Control",1,-0.618805709986601,0,11.6446343362733,"B1_Control"
5,3,"Control",1,-0.533091424272315,0,11.7133829002189,"B1_Control"
6,3,"Test",1,-0.491753272648539,2,13.7148388035815,"B1_Test"
7,3,"Test",1,-0.486002017521079,2,13.6801732785402,"B1_Test"
8,3,"Test",1,-0.5,2,13.481426486827,"B1_Test"
9,3,"Test",1,-0.513997982478921,2,13.3942132183991,"B1_Test"
10,3,"Test",1,-0.50824672735146,2,13.3776119723448,"B1_Test"
11,3,"Reference",1,-0.466908575727685,1,12.3246793305962,"B1_Reference"
12,3,"Reference",1,-0.381194290013399,1,12.5564305265807,"B1_Reference"
13,3,"Reference",1,-0.251103870208603,1,12.3692772243209,"B1_Reference"
14,3,"Reference",1,-0.0854265539074925,1,13.5652602356941,"B1_Reference"
15,3,"Reference",1,0.1,1,13.4623885994915,"B1_Reference"
1,4,"Control",2,-0.9,0,10.763067425039,"B2_Control"
2,4,"Control",2,-0.749203153418081,0,11.1299313959922,"B2_Control"
3,4,"Control",2,-0.611296706201224,0,11.2487066877118,"B2_Control"
4,4,"Control",2,-0.496617956029869,0,11.737371579471,"B2_Control"
5,4,"Control",2,-0.410903670315584,0,11.5640856097429,"B2_Control"
6,4,"Test",2,-0.354153849058367,2,13.7218417051401,"B2_Test"
7,4,"Test",2,-0.320631724846652,2,13.6708042485487,"B2_Test"
8,4,"Test",2,-0.3,2,13.6871388628126,"B2_Test"
9,4,"Test",2,-0.279368275153348,2,14.131212410051,"B2_Test"
10,4,"Test",2,-0.245846150941633,2,13.6864225533606,"B2_Test"
11,4,"Reference",2,-0.189096329684417,1,13.2658448516444,"B2_Reference"
12,4,"Reference",2,-0.103382043970131,1,12.4319921147608,"B2_Reference"
13,4,"Reference",2,0.0112967062012244,1,13.186680831092,"B2_Reference"
14,4,"Reference",2,0.14920315341808,1,13.1863594265715,"B2_Reference"
15,4,"Reference",2,0.3,1,13.3647824706232,"B2_Reference"
1,5,"Control",2,-0.7,0,11.413891844828,"B2_Control"
2,5,"Control",2,-0.591682778100591,0,11.2576201859666,"B2_Control"
3,5,"Control",2,-0.487842344919466,0,11.4121954399797,"B2_Control"
